current_gold,total_gold,level,xp,cs,jg,champion_mastery,damage_taken_per_min,champion_mastery_median,champion_mastery_min,ward_placed,elite_monster_killed,building_killed,champion_killed,winner
4053.0,2503.0,2.0,4109.0,43.0,-1.0,0.0,195.79999999999973,0,0,0,1,-1,2,0
3617.0,7542.0,5.0,6898.0,98.0,61.0,0.0,-6.899999999999864,0,0,13,2,3,5,1
-1418.0,-5830.0,-3.0,-3462.0,-82.0,-9.0,0.0,-414.5,0,0,1,-4,-3,-5,1
-5456.0,-2754.0,1.0,73.0,-43.0,-8.0,0.0,-555.6999999999998,0,0,-14,-4,-2,0,1
2630.0,3357.0,2.0,2310.0,32.0,-13.0,0.0,-842.5,0,0,5,-1,0,9,1
459.0,-3513.0,0.0,-250.0,77.0,-41.0,0.0,-333.4000000000001,0,0,12,-1,-7,-4,0
-404.0,-74.0,-1.0,-2268.0,45.0,-35.0,0.0,186.5,0,0,7,3,-1,-1,1
-2621.0,-2346.0,-1.0,-2903.0,-42.0,5.0,0.0,60.399999999999636,0,0,-9,-1,-3,-4,1
559.0,-2186.0,-2.0,-2692.0,-51.0,-32.0,0.0,-225.00000000000045,0,0,3,-3,0,-4,1
-3472.0,-8411.0,-9.0,-9497.0,-26.0,-39.0,0.0,409.5,0,0,-2,-3,-3,-15,1
4.0,-1596.0,1.0,780.0,21.0,-5.0,0.0,340.0999999999999,0,0,1,-3,-5,-3,0
-1158.0,-2513.0,-1.0,-1854.0,-24.0,-9.0,0.0,-182.9000000000001,0,0,-5,-1,0,-4,1
736.0,-879.0,-2.0,-2963.0,-107.0,-9.0,0.0,236.70000000000005,0,0,-24,1,-2,1,0
153.0,6791.0,6.0,5894.0,66.0,12.0,0.0,-484.0,0,0,-3,3,0,9,0
3149.0,134.0,3.0,4994.0,13.0,49.0,0.0,-81.80000000000018,0,0,70,1,-4,6,0
-1336.0,-7206.0,-3.0,-3636.0,-57.0,-11.0,0.0,231.4000000000001,0,0,-3,-3,-4,-7,1
5633.0,2024.0,4.0,4651.0,-1.0,-34.0,0.0,298.5,0,0,-11,-1,-3,2,1
315.0,-1124.0,0.0,1435.0,11.0,8.0,0.0,245.0,0,0,197,-3,-1,-7,0
-4682.0,-5327.0,-5.0,-5423.0,-13.0,-39.0,0.0,36.90000000000009,0,0,-23,-3,-4,-3,1
-1678.0,6027.0,2.0,4759.0,31.0,-36.0,0.0,-247.60000000000036,0,0,6,2,1,16,0
-584.0,-381.0,-2.0,-2637.0,30.0,-1.0,0.0,125.80000000000018,0,0,238,0,-2,1,0
1581.0,6055.0,4.0,6248.0,48.0,34.0,0.0,211.69999999999982,0,0,-8,2,1,7,0
2.0,-2783.0,0.0,-1062.0,10.0,40.0,0.0,351.39999999999964,0,0,-8,0,-1,-7,1
85.0,-265.0,3.0,2958.0,-59.0,4.0,0.0,50.500000000000455,0,0,-6,1,-1,3,0
-490.0,-6644.0,-4.0,-6179.0,44.0,-16.0,0.0,86.59999999999991,0,0,-2,-1,-7,-10,0
-226.0,-625.0,-1.0,-1347.0,72.0,-67.0,0.0,-159.60000000000082,0,0,-5,-4,-1,0,1
-973.0,4223.0,3.0,5018.0,40.0,4.0,0.0,12.599999999999909,0,0,-6,1,0,7,1
-1876.0,-6918.0,-4.0,-5488.0,-50.0,-16.0,0.0,313.6999999999998,0,0,-5,-1,-2,-9,1
4706.0,7611.0,7.0,7880.0,-11.0,19.0,0.0,249.39999999999918,0,0,-65,1,-3,6,0
4144.0,6269.0,5.0,5072.0,54.0,16.0,0.0,173.99999999999955,0,0,-17,3,0,3,0
857.0,-965.0,1.0,-548.0,-19.0,-26.0,0.0,118.79999999999973,0,0,14,-2,-1,-7,1
-1595.0,-795.0,-1.0,-1685.0,-37.0,18.0,0.0,157.39999999999964,0,0,-11,1,-2,-3,0
-1297.0,558.0,-1.0,-1937.0,44.0,-28.0,0.0,-42.70000000000027,0,0,-3,-4,1,1,1
-2530.0,700.0,2.0,2217.0,29.0,11.0,0.0,256.60000000000014,0,0,162,0,-3,5,0
4886.0,9910.0,6.0,9450.0,46.0,90.0,0.0,-308.7000000000003,0,0,5,-1,0,9,0
-2314.0,-2177.0,-2.0,-2722.0,-63.0,-15.0,0.0,-93.79999999999973,0,0,374,1,-3,-3,0
-3461.0,-7847.0,-6.0,-7018.0,-35.0,-58.0,0.0,126.79999999999973,0,0,19,0,-3,-11,1
-708.0,-4324.0,-2.0,-88.0,-45.0,-28.0,0.0,8.300000000000182,0,0,2,-2,-3,-3,1
-5347.0,-2467.0,-2.0,-1125.0,49.0,-20.0,0.0,173.69999999999982,0,0,7,-2,0,-4,1
661.0,3486.0,0.0,-569.0,45.0,-2.0,0.0,-192.30000000000018,0,0,-3,4,2,0,1
-2409.0,-9163.0,-5.0,-6921.0,-52.0,-7.0,0.0,-227.0,0,0,-2,-4,-4,-10,1
-1742.0,688.0,0.0,2009.0,-18.0,-17.0,0.0,80.5,0,0,-21,-1,-1,4,0
3322.0,1012.0,1.0,1218.0,39.0,-35.0,0.0,280.19999999999936,0,0,-10,0,-2,1,1
-309.0,-7214.0,-5.0,-6854.0,-52.0,-83.0,0.0,173.49999999999955,0,0,138,-4,-3,-10,1
-2685.0,-725.0,-1.0,-1083.0,-14.0,-22.0,0.0,-55.299999999999955,0,0,3,2,2,3,0
-554.0,-4705.0,-2.0,-2423.0,-65.0,-25.0,0.0,439.10000000000036,0,0,3,-3,-1,-8,1
-2013.0,-58.0,-1.0,-1821.0,75.0,-5.0,0.0,285.4000000000001,0,0,-53,0,-1,-2,0
-1151.0,-4525.0,-4.0,-4353.0,-47.0,-48.0,0.0,228.70000000000027,0,0,10,3,-3,-1,1
-1577.0,-11592.0,-6.0,-7846.0,-99.0,-85.0,0.0,147.10000000000014,0,0,7,-3,-7,-15,1
